"CityName","Date","No_of_buses_MTS","No_of_passerngers_travel_MTS","No_of_buses_BRTS","No_of_passerngers_travel_BRTS"
"Surat","23/06/2017","185","51797","120","76700"
"Surat","24/06/2017","187","51174","120","80799"
"Surat","25/06/2017","187","47270","120","84081"
"Surat","26/06/2017","178","54139","120","89429"
"Surat","27/06/2017","187","54289","120","82321"
"Surat","28/06/2017","187","50660","120","76567"
"Surat","29/06/2017","187","51251","120","79405"
"Surat","30/06/2017","187","51810","120","77363"
"Surat","01/07/2017","187","51801","120","78486"
"Surat","02/07/2017","187","45984","120","80645"
"Surat","03/07/2017","187","53663","120","83255"
"Surat","04/07/2017","187","51821","120","80783"
"Surat","05/07/2017","187","52497","120","80127"
"Surat","06/07/2017","187","52444","120","82760"
"Surat","07/07/2017","187","50623","120","80485"
"Surat","08/07/2017","187","54868","120","86807"
"Surat","09/07/2017","187","58042","120","98519"
"Surat","10/07/2017","187","57574","120","88575"
"Surat","11/07/2017","187","52947","120","89749"
"Surat","12/07/2017","187","55120","120","87839"
"Surat","13/07/2017","187","53390","120","83007"
"Surat","14/07/2017","187","53337","120","82228"
"Surat","15/07/2017","187","54974","120","84607"
"Surat","16/07/2017","187","46301","120","77659"
"Surat","17/07/2017","187","55060","120","84878"
"Surat","18/07/2017","187","45506","120","67038"
"Surat","19/07/2017","187","55468","120","85691"
"Surat","20/07/2017","187","57281","120","66174"
"Surat","21/07/2017","187","49312","120","70829"
"Surat","22/07/2017","187","51160","120","78552"
"Surat","23/07/2017","187","41847","120","70158"
"Surat","24/07/2017","187","56825","120","88711"
"Surat","25/07/2017","187","56851","112","84956"
"Surat","26/07/2017","187","55541","112","80376"
"Surat","27/07/2017","187","54926","130","78951"
"Surat","28/07/2017","187","57984","130","83550"
"Surat","29/07/2017","187","57989","130","86072"
"Surat","30/07/2017","187","47741","130","78488"
"Surat","31/07/2017","187","58351","130","90319"
"Surat","01/08/2017","187","49574","130","92467"
"Surat","02/08/2017","187","54180","130","87038"
"Surat","03/08/2017","187","55227","130","92918"
"Surat","04/08/2017","187","54939","130","91692"
"Surat","05/08/2017","187","58023","130","94665"
"Surat","06/08/2017","187","43396","130","83700"
"Surat","07/08/2017","187","30253","130","63805"
"Surat","08/08/2017","187","51881","130","97603"
"Surat","09/08/2017","187","52942","130","89681"
"Surat","10/08/2017","187","51756","130","90950"
"Surat","11/08/2017","187","49049","130","89615"
"Surat","12/08/2017","219","49049","130","88508"
"Surat","13/08/2017","212","36047","130","72122"
"Surat","14/08/2017","212","63184","130","99299"
"Surat","15/08/2017","212","57851","130","87925"
"Surat","16/08/2017","212","70429","130","97711"
"Surat","17/08/2017","212","60471","130","89500"
"Surat","18/08/2017","212","66583","130","94689"
"Surat","19/08/2017","212","68751","130","95043"
"Surat","20/08/2017","212","50746","130","71528"
"Surat","21/08/2017","212","66119","130","96369"
"Surat","22/08/2017","212","63479","130","93177"
"Surat","23/08/2017","212","62791","130","95687"
"Surat","24/08/2017","212","6027","130","93580"
"Surat","25/08/2017","180","50124","130","77677"
"Surat","26/08/2017","180","62067","130","98441"
"Surat","27/08/2017","219","46549","130","73182"
"Surat","28/08/2017","219","55759","130","84568"
"Surat","29/08/2017","219","62936","130","92754"
"Surat","30/08/2017","219","57821","130","89272"
"Surat","31/08/2017","219","62751","130","95124"
"Surat","01/09/2017","219","58924","130","91911"
"Surat","02/09/2017","219","53781","130","87832"
"Surat","03/09/2017","219","49648","130","79504"
"Surat","04/09/2017","219","63141","130","88388"
"Surat","05/09/2017","219","3695","49","14276"
"Surat","06/09/2017","219","NA","130","92776"
"Surat","07/09/2017","219","71014","130","92523"
"Surat","08/09/2017","219","51760","130","91647"
"Surat","09/09/2017","219","53904","130","91856"
"Surat","10/09/2017","219","48737","130","78610"
"Surat","11/09/2017","219","57627","130","92413"
"Surat","12/09/2017","219","54669","130","90209"
"Surat","13/09/2017","196","55524","73","45525"
"Surat","14/09/2017","NA","NA","NA","NA"
"Surat","15/09/2017","NA","NA","NA","NA"
"Surat","16/09/2017","NA","NA","NA","NA"
"Surat","17/09/2017","NA","NA","NA","NA"
"Surat","18/09/2017","220","61134","130","64279"
"Surat","19/09/2017","220","61419","130","83573"
"Surat","20/09/2017","220","56315","130","86971"
"Surat","21/09/2017","220","60154","130","87282"
"Surat","22/09/2017","220","62448","130","86943"
"Surat","23/09/2017","220","62206","130","86323"
"Surat","24/09/2017","220","54460","130","76447"
"Surat","25/09/2017","220","66283","130","87638"
"Surat","26/09/2017","220","53062","130","84593"
"Surat","27/09/2017","220","40293","130","82450"
"Surat","28/09/2017","220","50089","130","84409"
"Surat","29/09/2017","220","51867","130","83881"
"Surat","30/09/2017","214","46609","130","73371"
"Surat","01/10/2017","169","33701","130","75291"
"Surat","02/10/2017","206","55828","130","76532"
"Surat","03/10/2017","217","60910","130","85190"
"Surat","04/10/2017","220","58301","130","82202"
"Surat","05/10/2017","220","60674","130","85327"
"Surat","06/10/2017","220","60356","130","81140"
"Surat","07/10/2017","220","69482","130","84193"
"Surat","08/10/2017","220","62162","130","73713"
"Surat","09/10/2017","220","72917","130","84834"
"Surat","10/10/2017","220","74778","130","85171"
"Surat","11/10/2017","220","74272","130","84238"
"Surat","12/10/2017","214","79835","130","85763"
"Surat","13/10/2017","209","83943","130","74438"
"Surat","14/10/2017","209","79684","130","85518"
"Surat","15/10/2017","209","64334","130","NA"
"Surat","16/10/2017","188","NA","128","76094"
"Surat","17/10/2017","174","53953","127","67565"
"Surat","18/10/2017","203","54909","130","59205"
"Surat","19/10/2017","158","43640","130","50426"
"Surat","20/10/2017","158","36633","130","63141"
"Surat","21/10/2017","NA","50703","118","69931"
"Surat","22/10/2017","192","46026","119","NA"
"Surat","23/10/2017","NA","NA","NA","NA"
"Surat","24/10/2017","NA","NA","NA","NA"
"Surat","25/10/2017","NA","NA","NA","NA"
"Surat","26/10/2017","220","54573","120","57743"
"Surat","27/10/2017","215","56441","110","54369"
"Surat","28/10/2017","215","58568","115","58712"
"Surat","29/10/2017","202","51297","113","51437"
"Surat","30/10/2017","202","63301","93","57008"
"Surat","31/10/2017","212","61762","94","62528"
"Surat","01/11/2017","213","63099","106","58439"
"Surat","02/11/2017","208","63393","107","61504"
"Surat","03/11/2017","208","62815","107","61315"
"Surat","04/11/2017","208","68000","107","65065"
"Surat","05/11/2017","208","57255","107","59180"
"Surat","06/11/2017","226","70642","120","64959"
"Surat","07/11/2017","226","68712","120","71387"
"Surat","08/11/2017","226","67970","120","68044"
"Surat","09/11/2017","226","73302","120","73650"
"Surat","10/11/2017","226","73194","120","70912"
"Surat","11/11/2017","226","74929","120","73659"
"Surat","12/11/2017","226","64864","120","69374"
"Surat","13/11/2017","226","81304","120","78491"
"Surat","14/11/2017","226","81003","120","76144"
"Surat","15/11/2017","226","79403","120","74854"
"Surat","16/11/2017","226","71736","120","75149"
"Surat","17/11/2017","226","77945","120","78867"
"Surat","18/11/2017","226","86346","120","81616"
"Surat","19/11/2017","226","66871","120","73825"
"Surat","20/11/2017","226","83285","120","84672"
"Surat","21/11/2017","226","83475","120","83658"
"Surat","22/11/2017","226","81409","120","79877"
"Surat","23/11/2017","226","81873","120","82501"
"Surat","24/11/2017","226","79476","120","79742"
"Surat","25/11/2017","226","81349","120","82305"
"Surat","26/11/2017","226","68718","120","76693"
"Surat","27/11/2017","226","83561","120","82509"
"Surat","28/11/2017","226","81658","120","80348"
"Surat","29/11/2017","226","79610","120","79831"
"Surat","30/11/2017","226","80717","120","81405"
"Surat","01/12/2017","226","80570","120","79815"
"Surat","02/12/2017","226","69945","120","88816"
"Surat","03/12/2017","226","59111","120","50224"
"Surat","04/12/2017","226","84927","120","89299"
"Surat","05/12/2017","226","70926","120","72200"
"Surat","06/12/2017","226","51946","120","52659"
"Surat","07/12/2017","226","79519","120","86747"
"Surat","08/12/2017","226","70308","120","91226"
"Surat","09/12/2017","226","70692","120","75751"
"Surat","10/12/2017","226","88334","120","81412"
"Surat","11/12/2017","226","81675","120","85819"
"Surat","12/12/2017","226","87719","120","85346"
"Surat","13/12/2017","226","86001","120","83825"
"Surat","14/12/2017","226","86231","120","83527"
"Surat","15/12/2017","226","85897","120","83101"
"Surat","16/12/2017","226","92746","120","85614"
"Surat","17/12/2017","226","74256","120","79063"
"Surat","18/12/2017","226","83717","120","82461"
"Surat","19/12/2017","226","87004","120","85406"
"Surat","20/12/2017","226","85428","120","84082"
"Surat","21/12/2017","226","87100","120","87152"
"Surat","22/12/2017","226","85351","120","84892"
"Surat","23/12/2017","226","81144","120","85954"
"Surat","24/12/2017","226","72110","120","82907"
"Surat","25/12/2017","226","81046","120","86879"
"Surat","26/12/2017","226","86302","120","85910"
"Surat","27/12/2017","226","83747","120","86009"
"Surat","28/12/2017","226","87322","120","87008"
"Surat","29/12/2017","226","85369","120","85742"
"Surat","30/12/2017","226","87150","120","88414"
"Surat","31/12/2017","226","68008","120","79310"
"Surat","01/01/2018","226","90953","120","92006"
"Surat","02/01/2018","226","87192","120","84764"
"Surat","03/01/2018","226","85179","120","85504"
"Surat","04/01/2018","226","86325","120","85403"
"Surat","05/01/2018","226","86895","120","89015"
"Surat","06/01/2018","227","92908","120","91575"
"Surat","07/01/2018","227","75142","120","76075"
"Surat","08/01/2018","227","91463","120","84450"
"Surat","09/01/2018","227","89465","120","85599"
"Surat","10/01/2018","227","89743","120","87369"
"Surat","11/01/2018","227","90478","120","84176"
"Surat","12/01/2018","NA","91547","NA","82001"
"Surat","13/01/2018","NA","91629","NA","82019"
"Surat","14/01/2018","NA","66787","NA","65403"
"Surat","15/01/2018","NA","85804","NA","69981"
"Surat","16/01/2018","NA","91490","NA","72552"
"Surat","17/01/2018","NA","88461","NA","70753"
"Surat","18/01/2018","NA","NA","NA","NA"
"Surat","19/01/2018","NA","88863","NA","75537"
"Surat","20/01/2018","NA","93141","NA","77230"
"Surat","21/01/2018","NA","63088","NA","58350"
"Surat","22/01/2018","227","90651","117","82449"
"Surat","23/01/2018","227","89775","117","79074"
"Surat","24/01/2018","NA","NA","NA","NA"
"Surat","25/01/2018","227","88926","117","81859"
"Surat","26/01/2018","227","74989","117","76242"
"Surat","27/01/2018","227","88857","117","82285"
"Surat","28/01/2018","185","66571","108","74393"
"Surat","29/01/2018","227","90962","117","82411"
"Surat","30/01/2018","227","90188","117","79867"
"Surat","31/01/2018","227","85394","117","79437"
"Surat","01/02/2018","227","89269","117","79013"
"Surat","02/02/2018","227","88014","117","77986"
"Surat","03/02/2018","227","90081","117","86276"
"Surat","04/02/2018","185","65743","108","75359"
"Surat","05/02/2018","227","89823","117","82741"
"Surat","06/02/2018","227","87709","117","84573"
"Surat","07/02/2018","227","85775","117","84544"
"Surat","08/02/2018","227","87246","117","83792"
"Surat","09/02/2018","227","88254","117","84189"
"Surat","10/02/2018","227","90748","117","86609"
"Surat","11/02/2018","185","70991","108","79980"
"Surat","12/02/2018","227","NA","117","86925"
"Surat","13/02/2018","227","NA","117","82623"
"Surat","14/02/2018","227","NA","117","84034"
"Surat","15/02/2018","229","NA","117","83808"
"Surat","16/02/2018","229","NA","117","78512"
"Surat","17/02/2018","229","93326","117","81189"
"Surat","18/02/2018","185","67195","108","69529"
"Surat","19/02/2018","229","90218","117","83058"
"Surat","20/02/2018","229","88842","117","80714"
"Surat","21/02/2018","229","86062","117","80216"
"Surat","22/02/2018","229","87999","117","80888"
"Surat","23/02/2018","229","84637","117","79082"
"Surat","24/02/2018","229","87593","117","79559"
"Surat","25/02/2018","185","62647","108","70385"
"Surat","26/02/2018","229","88019","117","81509"
"Surat","27/02/2018","229","85149","117","78011"
"Surat","28/02/2018","NA","NA","NA","NA"
"Surat","01/03/2018","229","82899","117","74443"
"Surat","02/03/2018","183","46264","94","50308"
"Surat","03/03/2018","229","89764","117","80103"
"Surat","04/03/2018","184","61016","108","66827"
"Surat","05/03/2018","229","87217","117","77214"
"Surat","06/03/2018","231","87410","117","78450"
"Surat","07/03/2018","238","80924","117","74342"
"Surat","08/03/2018","238","81483","117","76926"
"Surat","09/03/2018","238","80909","117","76140"
"Surat","10/03/2018","238","82061","117","77027"
"Surat","11/03/2018","184","61258","108","73100"
"Surat","12/03/2018","238","83636","117","81192"
"Surat","13/03/2018","238","82560","117","78468"
"Surat","14/03/2018","238","80720","117","77694"
"Surat","15/03/2018","238","83614","117","79126"
"Surat","16/03/2018","238","81569","117","78679"
"Surat","17/03/2018","238","86170","117","79403"
"Surat","18/03/2018","186","62325","108","73694"
"Surat","19/03/2018","238","84644","117","80319"
"Surat","20/03/2018","233","82198","108","78996"
"Surat","21/03/2018","230","80124","113","78374"
"Surat","22/03/2018","235","82805","108","79209"
"Surat","23/03/2018","234","81482","116","79663"
"Surat","24/03/2018","229","80840","117","80451"
"Surat","25/03/2018","NA","NA","NA","NA"
"Surat","26/03/2018","NA","NA","NA","NA"
"Surat","27/03/2018","NA","NA","NA","NA"
"Surat","28/03/2018","NA","NA","NA","NA"
"Surat","29/03/2018","NA","NA","NA","NA"
"Surat","30/03/2018","NA","NA","NA","NA"
"Surat","31/03/2018","238","NA","117","88346"
"Surat","01/04/2018","186","61955","117","75825"
"Surat","02/04/2018","238","82838","117","82633"
"Surat","03/04/2018","NA","NA","NA","NA"
"Surat","04/04/2018","NA","NA","NA","NA"
"Surat","05/04/2018","NA","NA","NA","NA"
"Surat","06/04/2018","NA","NA","NA","NA"
"Surat","07/04/2018","NA","NA","NA","NA"
"Surat","08/04/2018","NA","NA","NA","NA"
"Surat","09/04/2018","238","84904","117","85220"
"Surat","10/04/2018","238","83859","117","85470"
"Surat","11/04/2018","237","83175","117","85478"
"Surat","12/04/2018","238","85140","117","85849"
"Surat","13/04/2018","237","83855","117","88129"
"Surat","14/04/2018","238","80465","117","84176"
"Surat","15/04/2018","NA","NA","NA","NA"
"Surat","16/04/2018","NA","NA","NA","NA"
"Surat","17/04/2018","NA","NA","NA","NA"
"Surat","18/04/2018","238","75820","117","80727"
"Surat","19/04/2018","237","79576","117","81763"
"Surat","20/04/2018","238","80876","117","81723"
"Surat","21/04/2018","238","84660","117","82206"
"Surat","22/04/2018","186","63293","115","76215"
"Surat","23/04/2018","NA","NA","NA","NA"
"Surat","24/04/2018","NA","NA","NA","NA"
"Surat","25/04/2018","NA","NA","NA","NA"
"Surat","26/04/2018","NA","NA","NA","NA"
"Surat","27/04/2018","238","76297","117","79617"
"Surat","28/04/2018","238","77080","117","79451"
"Surat","29/04/2018","238","58061","117","76245"
"Surat","30/04/2018","238","79134","117","81998"
"Surat","01/05/2018","237","76368","117","82058"
"Surat","02/05/2018","NA","NA","NA","NA"
"Surat","03/05/2018","NA","NA","NA","NA"
"Surat","04/05/2018","NA","NA","NA","NA"
"Surat","05/05/2018","NA","NA","NA","NA"
"Surat","06/05/2018","NA","NA","NA","NA"
"Surat","07/05/2018","NA","NA","NA","NA"
"Surat","08/05/2018","NA","NA","NA","NA"
"Surat","09/05/2018","NA","NA","NA","NA"
"Surat","10/05/2018","NA","NA","NA","NA"
"Surat","11/05/2018","236","76567","117","83502"
"Surat","12/05/2018","238","78801","117","85072"
"Surat","13/05/2018","187","61470","115","81164"
"Surat","14/05/2018","NA","NA","NA","NA"
"Surat","15/05/2018","NA","NA","NA","NA"
"Surat","16/05/2018","NA","NA","NA","NA"
"Surat","17/05/2018","NA","NA","NA","NA"
"Surat","18/05/2018","NA","NA","NA","NA"
"Surat","19/05/2018","NA","NA","NA","NA"
"Surat","20/05/2018","NA","NA","NA","NA"
"Surat","21/05/2018","NA","NA","NA","NA"
"Surat","22/05/2018","246","77200","129","86153"
"Surat","23/05/2018","246","75717","129","87764"
"Surat","24/05/2018","246","76605","129","88178"
"Surat","25/05/2018","246","76362","129","80777"
"Surat","26/05/2018","246","75054","129","90135"
"Surat","27/05/2018","195","59467","124","88602"
"Surat","28/05/2018","246","77202","129","90132"
"Surat","29/05/2018","246","79084","129","96482"
"Surat","30/05/2018","250","73517","129","90409"
"Surat","31/05/2018","250","74822","129","90617"
"Surat","01/06/2018","250","77463","129","91379"
"Surat","02/06/2018","250","78541","129","92048"
"Surat","03/06/2018","195","62026","124","84952"
"Surat","04/06/2018","250","79624","129","93116"
"Surat","05/06/2018","250","79118","129","93901"
"Surat","06/06/2018","250","75773","129","90528"
"Surat","07/06/2018","250","78950","129","92348"
"Surat","08/06/2018","250","82005","129","91966"
"Surat","09/06/2018","250","80741","129","90668"
"Surat","10/06/2018","195","65748","124","83774"
"Surat","11/06/2018","250","85920","129","92245"
"Surat","12/06/2018","250","85248","129","90833"
"Surat","13/06/2018","250","85282","129","88933"
"Surat","14/06/2018","250","89350","129","84367"
"Surat","15/06/2018","250","89739","124","85136"
"Surat","16/06/2018","250","83378","129","86143"
"Surat","17/06/2018","195","65263","124","74336"
"Surat","18/06/2018","250","89318","129","87588"
"Surat","19/06/2018","250","87835","129","87021"
"Surat","20/06/2018","250","84357","129","87210"
"Surat","21/06/2018","250","85553","129","87711"
"Surat","22/06/2018","250","84230","129","91213"
"Surat","23/06/2018","250","82487","129","87901"
"Surat","24/06/2018","195","58834","129","73853"
"Surat","25/06/2018","250","79629","129","81497"
"Surat","26/06/2018","250","85599","129","84949"
"Surat","27/06/2018","250","82805","129","88292"
"Surat","28/06/2018","250","86969","129","90375"
"Surat","29/06/2018","250","82452","129","86420"
"Surat","30/06/2018","195","86069","129","93248"
"Surat","01/07/2018","250","65289","129","68490"
"Surat","02/07/2018","250","85762","129","89655"
"Surat","03/07/2018","250","70184","129","68979"
"Surat","04/07/2018","250","79152","129","82516"
"Surat","05/07/2018","250","85600","129","92447"
"Surat","06/07/2018","250","86669","129","91385"
"Surat","07/07/2018","250","83966","129","89783"
"Surat","08/07/2018","195","66079","124","84344"
"Surat","09/07/2018","247","86626","156","94889"
"Surat","10/07/2018","247","85102","156","93965"
"Surat","11/07/2018","247","81854","156","86797"
"Surat","12/07/2018","247","73037","156","74227"
"Surat","13/07/2018","247","85236","156","88763"
"Surat","14/07/2018","200","81812","143","91614"
"Surat","15/07/2018","200","55454","143","63383"
"Surat","16/07/2018","247","81925","156","87590"
"Surat","17/07/2018","247","88411","156","95582"
"Surat","18/07/2018","247","85461","156","92960"
"Surat","19/07/2018","247","89789","156","98271"
"Surat","20/07/2018","247","83648","156","88612"
"Surat","21/07/2018","247","82521","156","89528"
"Surat","22/07/2018","200","66964","143","82944"
"Surat","23/07/2018","247","95856","156","103042"
"Surat","24/07/2018","247","95556","156","100348"
"Surat","25/07/2018","247","92617","156","98940"
"Surat","26/07/2018","247","94468","156","10044"
"Surat","27/07/2018","247","102032","156","112199"
"Surat","28/07/2018","247","93210","156","104371"
"Surat","29/07/2018","200","94538","143","75139"
"Surat","30/07/2018","247","98617","155","109359"
"Surat","31/07/2018","247","96185","155","107025"
"Surat","01/08/2018","247","94359","155","104592"
"Surat","02/08/2018","247","95075","156","105787"
"Surat","03/08/2018","247","94784","156","103728"
"Surat","04/08/2018","247","93410","156","107748"
"Surat","05/08/2018","200","72317","143","96697"
"Surat","06/08/2018","247","96372","156","107117"
"Surat","07/08/2018","249","96571","156","108007"
"Surat","08/08/2018","249","96090","156","107267"
"Surat","09/08/2018","249","95730","156","106114"
"Surat","10/08/2018","249","97121","156","108500"
"Surat","11/08/2018","249","95330","156","107406"
"Surat","12/08/2018","200","72158","156","95709"
"Surat","13/08/2018","249","98220","156","111794"
"Surat","14/08/2018","249","95438","156","110105"
"Surat","15/08/2018","236","76333","143","100451"
"Surat","16/08/2018","249","93735","156","104770"
"Surat","17/08/2018","249","82800","156","98298"
"Surat","18/08/2018","249","95036","156","105987"
"Surat","19/08/2018","211","70390","143","73259"
"Surat","20/08/2018","224","91176","93","62225"
"Surat","21/08/2018","227","87979","113","65824"
"Surat","22/08/2018","200","76484","143","97147"
"Surat","23/08/2018","251","97555","148","106893"
"Surat","24/08/2018","249","97125","154","103559"
"Surat","25/08/2018","224","82414","93","44656"
"Surat","26/08/2018","200","114028","143","118276"
"Surat","27/08/2018","249","99153","156","109225"
"Surat","28/08/2018","249","94965","156","104678"
"Surat","29/08/2018","249","93614","156","104303"
"Surat","30/08/2018","249","93159","156","102658"
"Surat","31/08/2018","249","92050","156","101854"
"Surat","01/09/2018","249","91472","155","94904"
"Surat","02/09/2018","203","71238","143","93089"
"Surat","03/09/2018","203","67013","143","85116"
"Surat","04/09/2018","249","97012","156","111320"
"Surat","05/09/2018","249","93486","156","103307"
"Surat","06/09/2018","249","97331","156","103876"
"Surat","07/09/2018","249","94427","154","98206"
"Surat","08/09/2018","249","93648","154","100804"
"Surat","09/09/2018","200","69068","143","82736"
"Surat","10/09/2018","249","93265","155","99317"
"Surat","11/09/2018","249","96826","154","102890"
"Surat","12/09/2018","249","95031","156","98421"
"Surat","13/09/2018","249","80242","156","82750"
"Surat","14/09/2018","249","96081","156","103104"
"Surat","15/09/2018","249","96550","156","102873"
"Surat","16/09/2018","200","70750","143","88435"
"Surat","17/09/2018","248","98427","155","105524"
"Surat","18/09/2018","248","96600","155","101406"
"Surat","19/09/2018","249","95703","156","100178"
"Surat","20/09/2018","249","95643","156","105346"
"Surat","21/09/2018","200","65590","143","90493"
"Surat","22/09/2018","249","58372","156","93308"
"Surat","23/09/2018","40","7211","56","15204"
"Surat","24/09/2018","249","97857","156","99099"
"Surat","25/09/2018","249","97156","156","99548"
"Surat","26/09/2018","249","93869","156","100816"
"Surat","27/09/2018","249","92857","156","101637"
"Surat","28/09/2018","249","91528","156","96902"
"Surat","29/09/2018","200","69024","143","85018"
"Surat","30/09/2018","200","68939","143","89570"
"Surat","01/10/2018","249","96736","156","105807"
"Surat","02/10/2018","249","72226","156","91892"
"Surat","03/10/2018","249","91532","156","100672"
"Surat","04/10/2018","249","93276","156","101241"
"Surat","05/10/2018","249","93238","156","97477"
"Surat","06/10/2018","NA","NA","NA","NA"
"Surat","07/10/2018","NA","NA","NA","NA"
"Surat","08/10/2018","NA","NA","NA","NA"
"Surat","09/10/2018","NA","NA","NA","NA"
"Surat","10/10/2018","NA","NA","NA","NA"
"Surat","11/10/2018","NA","NA","NA","NA"
"Surat","12/10/2018","NA","NA","NA","NA"
"Surat","13/10/2018","NA","NA","NA","NA"
"Surat","14/10/2018","NA","NA","NA","NA"
"Surat","15/10/2018","NA","NA","NA","NA"
"Surat","16/10/2018","NA","NA","NA","NA"
"Surat","17/10/2018","NA","NA","NA","NA"
"Surat","18/10/2018","NA","NA","NA","NA"
"Surat","19/10/2018","NA","NA","NA","NA"
"Surat","20/10/2018","NA","NA","NA","NA"
"Surat","21/10/2018","NA","NA","NA","NA"
"Surat","22/10/2018","NA","NA","NA","NA"
"Surat","23/10/2018","NA","NA","NA","NA"
"Surat","24/10/2018","NA","NA","NA","NA"
"Surat","25/10/2018","NA","NA","NA","NA"
"Surat","26/10/2018","NA","NA","NA","NA"
"Surat","27/10/2018","NA","NA","NA","NA"
"Surat","28/10/2018","NA","NA","NA","NA"
"Surat","29/10/2018","NA","NA","NA","NA"
"Surat","30/10/2018","NA","NA","NA","NA"
"Surat","31/10/2018","NA","NA","NA","NA"
"Surat","01/11/2018","NA","NA","NA","NA"
"Surat","02/11/2018","NA","NA","NA","NA"
"Surat","03/11/2018","NA","NA","NA","NA"
"Surat","04/11/2018","NA","NA","NA","NA"
"Surat","05/11/2018","NA","NA","NA","NA"
"Surat","06/11/2018","NA","NA","NA","NA"
"Surat","07/11/2018","NA","NA","NA","NA"
"Surat","08/11/2018","NA","NA","NA","NA"
"Surat","09/11/2018","NA","NA","NA","NA"
"Surat","10/11/2018","NA","NA","NA","NA"
"Surat","11/11/2018","NA","NA","NA","NA"
"Surat","12/11/2018","NA","NA","NA","NA"
