"CityName","Date","No_of_buses_MTS","No_of_passerngers_travel_MTS","No_of_buses_BRTS","No_of_passerngers_travel_BRTS"
"Surat","13/11/2018","NA","NA","NA","NA"
"Surat","14/11/2018","NA","NA","NA","NA"
"Surat","15/11/2018","NA","NA","NA","NA"
"Surat","16/11/2018","NA","NA","NA","NA"
"Surat","17/11/2018","NA","NA","NA","NA"
"Surat","18/11/2018","NA","NA","NA","NA"
"Surat","19/11/2018","NA","NA","NA","NA"
"Surat","20/11/2018","NA","NA","NA","NA"
"Surat","21/11/2018","NA","NA","NA","NA"
"Surat","22/11/2018","NA","NA","NA","NA"
"Surat","23/11/2018","NA","NA","NA","NA"
"Surat","24/11/2018","NA","NA","NA","NA"
"Surat","25/11/2018","NA","NA","NA","NA"
"Surat","26/11/2018","NA","NA","NA","NA"
"Surat","27/11/2018","NA","NA","NA","NA"
"Surat","28/11/2018","NA","NA","NA","NA"
"Surat","29/11/2018","NA","NA","NA","NA"
"Surat","30/11/2018","NA","NA","NA","NA"
"Surat","01/12/2018","NA","NA","NA","NA"
"Surat","02/12/2018","NA","NA","NA","NA"
"Surat","03/12/2018","NA","NA","NA","NA"
"Surat","04/12/2018","NA","NA","NA","NA"
"Surat","05/12/2018","NA","NA","NA","NA"
"Surat","06/12/2018","NA","NA","NA","NA"
"Surat","07/12/2018","NA","NA","NA","NA"
"Surat","08/12/2018","NA","NA","NA","NA"
"Surat","09/12/2018","NA","NA","NA","NA"
"Surat","10/12/2018","NA","NA","NA","NA"
"Surat","11/12/2018","NA","NA","NA","NA"
"Surat","12/12/2018","NA","NA","NA","NA"
"Surat","13/12/2018","NA","NA","NA","NA"
"Surat","14/12/2018","NA","NA","NA","NA"
"Surat","15/12/2018","NA","NA","NA","NA"
"Surat","16/12/2018","NA","NA","NA","NA"
"Surat","17/12/2018","NA","NA","NA","NA"
"Surat","18/12/2018","NA","NA","NA","NA"
"Surat","19/12/2018","NA","NA","NA","NA"
"Surat","20/12/2018","NA","NA","NA","NA"
"Surat","21/12/2018","NA","NA","NA","NA"
"Surat","22/12/2018","NA","NA","NA","NA"
"Surat","23/12/2018","NA","NA","NA","NA"
"Surat","24/12/2018","NA","NA","NA","NA"
"Surat","25/12/2018","NA","NA","NA","NA"
"Surat","26/12/2018","NA","NA","NA","NA"
"Surat","27/12/2018","NA","NA","NA","NA"
"Surat","28/12/2018","NA","NA","NA","NA"
"Surat","29/12/2018","NA","NA","NA","NA"
"Surat","30/12/2018","NA","NA","NA","NA"
"Surat","31/12/2018","NA","NA","NA","NA"
"Surat","01/01/2019","NA","NA","NA","NA"
"Surat","02/01/2019","NA","NA","NA","NA"
"Surat","03/01/2019","NA","NA","NA","NA"
"Surat","04/01/2019","NA","NA","NA","NA"
"Surat","05/01/2019","NA","NA","NA","NA"
"Surat","06/01/2019","NA","NA","NA","NA"
"Surat","07/01/2019","NA","NA","NA","NA"
"Surat","08/01/2019","NA","NA","NA","NA"
"Surat","09/01/2019","NA","NA","NA","NA"
"Surat","10/01/2019","NA","NA","NA","NA"
"Surat","11/01/2019","NA","NA","NA","NA"
"Surat","12/01/2019","NA","NA","NA","NA"
"Surat","13/01/2019","NA","NA","NA","NA"
"Surat","14/01/2019","NA","NA","NA","NA"
"Surat","15/01/2019","NA","NA","NA","NA"
"Surat","16/01/2019","NA","NA","NA","NA"
"Surat","17/01/2019","NA","NA","NA","NA"
"Surat","18/01/2019","NA","NA","NA","NA"
"Surat","19/01/2019","NA","NA","NA","NA"
"Surat","20/01/2019","NA","NA","NA","NA"
"Surat","21/01/2019","NA","NA","NA","NA"
"Surat","22/01/2019","NA","NA","NA","NA"
"Surat","23/01/2019","NA","NA","NA","NA"
"Surat","24/01/2019","NA","NA","NA","NA"
"Surat","25/01/2019","NA","NA","NA","NA"
"Surat","26/01/2019","NA","NA","NA","NA"
"Surat","27/01/2019","NA","NA","NA","NA"
"Surat","28/01/2019","NA","NA","NA","NA"
"Surat","29/01/2019","NA","NA","NA","NA"
"Surat","30/01/2019","NA","NA","NA","NA"
"Surat","31/01/2019","NA","NA","NA","NA"
"Surat","01/02/2019","NA","NA","NA","NA"
"Surat","02/02/2019","NA","NA","NA","NA"
"Surat","03/02/2019","NA","NA","NA","NA"
"Surat","04/02/2019","NA","NA","NA","NA"
"Surat","05/02/2019","NA","NA","NA","NA"
"Surat","06/02/2019","NA","NA","NA","NA"
"Surat","07/02/2019","NA","NA","NA","NA"
"Surat","08/02/2019","NA","NA","NA","NA"
"Surat","09/02/2019","NA","NA","NA","NA"
"Surat","10/02/2019","NA","NA","NA","NA"
"Surat","11/02/2019","NA","NA","NA","NA"
"Surat","12/02/2019","NA","NA","NA","NA"
"Surat","13/02/2019","NA","NA","NA","NA"
"Surat","14/02/2019","NA","NA","NA","NA"
"Surat","15/02/2019","NA","NA","NA","NA"
"Surat","16/02/2019","NA","NA","NA","NA"
"Surat","17/02/2019","NA","NA","NA","NA"
"Surat","18/02/2019","NA","NA","NA","NA"
"Surat","19/02/2019","NA","NA","NA","NA"
"Surat","20/02/2019","NA","NA","NA","NA"
"Surat","21/02/2019","NA","NA","NA","NA"
"Surat","22/02/2019","NA","NA","NA","NA"
"Surat","23/02/2019","NA","NA","NA","NA"
"Surat","24/02/2019","NA","NA","NA","NA"
"Surat","25/02/2019","NA","NA","NA","NA"
"Surat","26/02/2019","NA","NA","NA","NA"
"Surat","27/02/2019","NA","NA","NA","NA"
"Surat","28/02/2019","NA","NA","NA","NA"
"Surat","01/03/2019","NA","NA","NA","NA"
"Surat","02/03/2019","NA","NA","NA","NA"
"Surat","03/03/2019","NA","NA","NA","NA"
"Surat","04/03/2019","NA","NA","NA","NA"
"Surat","05/03/2019","NA","NA","NA","NA"
"Surat","06/03/2019","NA","NA","NA","NA"
"Surat","07/03/2019","NA","NA","NA","NA"
"Surat","08/03/2019","NA","NA","NA","NA"
"Surat","09/03/2019","NA","NA","NA","NA"
"Surat","10/03/2019","NA","NA","NA","NA"
"Surat","11/03/2019","NA","NA","NA","NA"
"Surat","12/03/2019","NA","NA","NA","NA"
"Surat","13/03/2019","NA","NA","NA","NA"
"Surat","14/03/2019","NA","NA","NA","NA"
"Surat","15/03/2019","NA","NA","NA","NA"
"Surat","16/03/2019","NA","NA","NA","NA"
"Surat","17/03/2019","NA","NA","NA","NA"
"Surat","18/03/2019","NA","NA","NA","NA"
"Surat","19/03/2019","NA","NA","NA","NA"
"Surat","20/03/2019","NA","NA","NA","NA"
"Surat","21/03/2019","NA","NA","NA","NA"
"Surat","22/03/2019","NA","NA","NA","NA"
"Surat","23/03/2019","NA","NA","NA","NA"
"Surat","24/03/2019","NA","NA","NA","NA"
"Surat","25/03/2019","NA","NA","NA","NA"
"Surat","26/03/2019","NA","NA","NA","NA"
"Surat","27/03/2019","NA","NA","NA","NA"
"Surat","28/03/2019","NA","NA","NA","NA"
"Surat","29/03/2019","NA","NA","NA","NA"
"Surat","30/03/2019","NA","NA","NA","NA"
"Surat","31/03/2019","NA","NA","NA","NA"
"Surat","01/04/2019","NA","NA","NA","NA"
"Surat","02/04/2019","NA","NA","NA","NA"
"Surat","03/04/2019","NA","NA","NA","NA"
"Surat","04/04/2019","NA","NA","NA","NA"
"Surat","05/04/2019","NA","NA","NA","NA"
"Surat","06/04/2019","NA","NA","NA","NA"
"Surat","07/04/2019","NA","NA","NA","NA"
"Surat","08/04/2019","NA","NA","NA","NA"
"Surat","09/04/2019","NA","NA","NA","NA"
"Surat","10/04/2019","NA","NA","NA","NA"
"Surat","11/04/2019","NA","NA","NA","NA"
"Surat","12/04/2019","NA","NA","NA","NA"
"Surat","13/04/2019","NA","NA","NA","NA"
"Surat","14/04/2019","NA","NA","NA","NA"
"Surat","15/04/2019","NA","NA","NA","NA"
"Surat","16/04/2019","NA","NA","NA","NA"
"Surat","17/04/2019","NA","NA","NA","NA"
"Surat","18/04/2019","NA","NA","NA","NA"
"Surat","19/04/2019","NA","NA","NA","NA"
"Surat","20/04/2019","NA","NA","NA","NA"
"Surat","21/04/2019","NA","NA","NA","NA"
"Surat","22/04/2019","NA","NA","NA","NA"
"Surat","23/04/2019","NA","NA","NA","NA"
"Surat","24/04/2019","NA","NA","NA","NA"
"Surat","25/04/2019","NA","NA","NA","NA"
"Surat","26/04/2019","NA","NA","NA","NA"
"Surat","27/04/2019","NA","NA","NA","NA"
"Surat","28/04/2019","NA","NA","NA","NA"
"Surat","29/04/2019","NA","NA","NA","NA"
"Surat","30/04/2019","NA","NA","NA","NA"
"Surat","01/05/2019","NA","NA","NA","NA"
"Surat","02/05/2019","NA","NA","NA","NA"
"Surat","03/05/2019","NA","NA","NA","NA"
"Surat","04/05/2019","NA","NA","NA","NA"
"Surat","05/05/2019","NA","NA","NA","NA"
"Surat","06/05/2019","NA","NA","NA","NA"
"Surat","07/05/2019","NA","NA","NA","NA"
"Surat","08/05/2019","NA","NA","NA","NA"
"Surat","09/05/2019","NA","NA","NA","NA"
"Surat","10/05/2019","NA","NA","NA","NA"
"Surat","11/05/2019","NA","NA","NA","NA"
"Surat","12/05/2019","NA","NA","NA","NA"
"Surat","13/05/2019","NA","NA","NA","NA"
"Surat","14/05/2019","NA","NA","NA","NA"
"Surat","15/05/2019","NA","NA","NA","NA"
"Surat","16/05/2019","NA","NA","NA","NA"
"Surat","17/05/2019","NA","NA","NA","NA"
"Surat","18/05/2019","NA","NA","NA","NA"
"Surat","19/05/2019","NA","NA","NA","NA"
"Surat","20/05/2019","NA","NA","NA","NA"
"Surat","21/05/2019","NA","NA","NA","NA"
"Surat","22/05/2019","NA","NA","NA","NA"
"Surat","23/05/2019","NA","NA","NA","NA"
"Surat","24/05/2019","NA","NA","NA","NA"
"Surat","25/05/2019","NA","NA","NA","NA"
"Surat","26/05/2019","NA","NA","NA","NA"
"Surat","27/05/2019","NA","NA","NA","NA"
"Surat","28/05/2019","NA","NA","NA","NA"
"Surat","29/05/2019","NA","NA","NA","NA"
"Surat","30/05/2019","NA","NA","NA","NA"
"Surat","31/05/2019","NA","NA","NA","NA"
"Surat","01/06/2019","NA","NA","NA","NA"
"Surat","02/06/2019","NA","NA","NA","NA"
"Surat","03/06/2019","NA","NA","NA","NA"
"Surat","04/06/2019","NA","NA","NA","NA"
"Surat","05/06/2019","NA","NA","NA","NA"
"Surat","06/06/2019","NA","NA","NA","NA"
"Surat","07/06/2019","NA","NA","NA","NA"
"Surat","08/06/2019","NA","NA","NA","NA"
"Surat","09/06/2019","NA","NA","NA","NA"
"Surat","10/06/2019","NA","NA","NA","NA"
"Surat","11/06/2019","NA","NA","NA","NA"
"Surat","12/06/2019","NA","NA","NA","NA"
"Surat","13/06/2019","NA","NA","NA","NA"
"Surat","14/06/2019","NA","NA","NA","NA"
"Surat","15/06/2019","NA","NA","NA","NA"
"Surat","16/06/2019","NA","NA","NA","NA"
"Surat","17/06/2019","NA","NA","NA","NA"
"Surat","18/06/2019","NA","NA","NA","NA"
"Surat","19/06/2019","NA","NA","NA","NA"
"Surat","20/06/2019","NA","NA","NA","NA"
"Surat","21/06/2019","NA","NA","NA","NA"
"Surat","22/06/2019","NA","NA","NA","NA"
"Surat","23/06/2019","NA","NA","NA","NA"
"Surat","24/06/2019","NA","NA","NA","NA"
"Surat","25/06/2019","NA","NA","NA","NA"
"Surat","26/06/2019","NA","NA","NA","NA"
"Surat","27/06/2019","NA","NA","NA","NA"
"Surat","28/06/2019","NA","NA","NA","NA"
"Surat","29/06/2019","NA","NA","NA","NA"
"Surat","30/06/2019","NA","NA","NA","NA"
"Surat","01/07/2019","NA","NA","NA","NA"
"Surat","02/07/2019","NA","NA","NA","NA"
"Surat","03/07/2019","NA","NA","NA","NA"
"Surat","04/07/2019","NA","NA","NA","NA"
"Surat","05/07/2019","NA","NA","NA","NA"
"Surat","06/07/2019","NA","NA","NA","NA"
"Surat","07/07/2019","NA","NA","NA","NA"
"Surat","08/07/2019","NA","NA","NA","NA"
"Surat","09/07/2019","NA","NA","NA","NA"
"Surat","10/07/2019","NA","NA","NA","NA"
"Surat","11/07/2019","NA","NA","NA","NA"
"Surat","12/07/2019","NA","NA","NA","NA"
"Surat","13/07/2019","NA","NA","NA","NA"
"Surat","14/07/2019","NA","NA","NA","NA"
"Surat","15/07/2019","NA","NA","NA","NA"
"Surat","16/07/2019","NA","NA","NA","NA"
"Surat","17/07/2019","NA","NA","NA","NA"
"Surat","18/07/2019","NA","NA","NA","NA"
"Surat","19/07/2019","NA","NA","NA","NA"
"Surat","20/07/2019","NA","NA","NA","NA"
"Surat","21/07/2019","NA","NA","NA","NA"
"Surat","22/07/2019","NA","NA","NA","NA"
"Surat","23/07/2019","NA","NA","NA","NA"
"Surat","24/07/2019","NA","NA","NA","NA"
"Surat","25/07/2019","NA","NA","NA","NA"
"Surat","26/07/2019","NA","NA","NA","NA"
"Surat","27/07/2019","NA","NA","NA","NA"
"Surat","28/07/2019","NA","NA","NA","NA"
"Surat","29/07/2019","NA","NA","NA","NA"
"Surat","30/07/2019","NA","NA","NA","NA"
"Surat","31/07/2019","NA","NA","NA","NA"
"Surat","01/08/2019","NA","NA","NA","NA"
"Surat","02/08/2019","NA","NA","NA","NA"
"Surat","03/08/2019","NA","NA","NA","NA"
"Surat","04/08/2019","NA","NA","NA","NA"
"Surat","05/08/2019","NA","NA","NA","NA"
"Surat","06/08/2019","NA","NA","NA","NA"
"Surat","07/08/2019","NA","NA","NA","NA"
"Surat","08/08/2019","NA","NA","NA","NA"
"Surat","09/08/2019","NA","NA","NA","NA"
"Surat","10/08/2019","NA","NA","NA","NA"
"Surat","11/08/2019","NA","NA","NA","NA"
"Surat","12/08/2019","NA","NA","NA","NA"
"Surat","13/08/2019","NA","NA","NA","NA"
"Surat","14/08/2019","NA","NA","NA","NA"
"Surat","15/08/2019","NA","NA","NA","NA"
"Surat","16/08/2019","NA","NA","NA","NA"
"Surat","17/08/2019","NA","NA","NA","NA"
"Surat","18/08/2019","NA","NA","NA","NA"
"Surat","19/08/2019","NA","NA","NA","NA"
"Surat","20/08/2019","NA","NA","NA","NA"
"Surat","21/08/2019","NA","NA","NA","NA"
"Surat","22/08/2019","NA","NA","NA","NA"
"Surat","23/08/2019","NA","NA","NA","NA"
"Surat","24/08/2019","NA","NA","NA","NA"
"Surat","25/08/2019","NA","NA","NA","NA"
"Surat","26/08/2019","NA","NA","NA","NA"
"Surat","27/08/2019","NA","NA","NA","NA"
"Surat","28/08/2019","NA","NA","NA","NA"
"Surat","29/08/2019","NA","NA","NA","NA"
"Surat","30/08/2019","NA","NA","NA","NA"
"Surat","31/08/2019","NA","NA","NA","NA"
"Surat","01/09/2019","NA","NA","NA","NA"
"Surat","02/09/2019","NA","NA","NA","NA"
"Surat","03/09/2019","NA","NA","NA","NA"
"Surat","04/09/2019","NA","NA","NA","NA"
"Surat","05/09/2019","NA","NA","NA","NA"
"Surat","06/09/2019","NA","NA","NA","NA"
"Surat","07/09/2019","NA","NA","NA","NA"
"Surat","08/09/2019","NA","NA","NA","NA"
"Surat","09/09/2019","NA","NA","NA","NA"
"Surat","10/09/2019","NA","NA","NA","NA"
"Surat","11/09/2019","NA","NA","NA","NA"
"Surat","12/09/2019","NA","NA","NA","NA"
"Surat","13/09/2019","NA","NA","NA","NA"
"Surat","14/09/2019","NA","NA","NA","NA"
"Surat","15/09/2019","NA","NA","NA","NA"
"Surat","16/09/2019","NA","NA","NA","NA"
"Surat","17/09/2019","NA","NA","NA","NA"
"Surat","18/09/2019","NA","NA","NA","NA"
"Surat","19/09/2019","NA","NA","NA","NA"
"Surat","20/09/2019","NA","NA","NA","NA"
"Surat","21/09/2019","NA","NA","NA","NA"
"Surat","22/09/2019","NA","NA","NA","NA"
"Surat","23/09/2019","NA","NA","NA","NA"
"Surat","24/09/2019","NA","NA","NA","NA"
"Surat","25/09/2019","NA","NA","NA","NA"
"Surat","26/09/2019","NA","NA","NA","NA"
"Surat","27/09/2019","NA","NA","NA","NA"
"Surat","28/09/2019","NA","NA","NA","NA"
"Surat","29/09/2019","NA","NA","NA","NA"
"Surat","30/09/2019","NA","NA","NA","NA"
"Surat","01/10/2019","NA","NA","NA","NA"
"Surat","02/10/2019","NA","NA","NA","NA"
"Surat","03/10/2019","NA","NA","NA","NA"
"Surat","04/10/2019","NA","NA","NA","NA"
"Surat","05/10/2019","NA","NA","NA","NA"
"Surat","06/10/2019","NA","NA","NA","NA"
"Surat","07/10/2019","NA","NA","NA","NA"
"Surat","08/10/2019","NA","NA","NA","NA"
"Surat","09/10/2019","NA","NA","NA","NA"
"Surat","10/10/2019","NA","NA","NA","NA"
"Surat","11/10/2019","NA","NA","NA","NA"
"Surat","12/10/2019","NA","NA","NA","NA"
"Surat","13/10/2019","NA","NA","NA","NA"
"Surat","14/10/2019","NA","NA","NA","NA"
"Surat","15/10/2019","NA","NA","NA","NA"
"Surat","16/10/2019","NA","NA","NA","NA"
"Surat","17/10/2019","NA","NA","NA","NA"
"Surat","18/10/2019","NA","NA","NA","NA"
"Surat","19/10/2019","NA","NA","NA","NA"
"Surat","20/10/2019","NA","NA","NA","NA"
"Surat","21/10/2019","NA","NA","NA","NA"
"Surat","22/10/2019","NA","NA","NA","NA"
"Surat","23/10/2019","NA","NA","NA","NA"
"Surat","24/10/2019","NA","NA","NA","NA"
"Surat","25/10/2019","NA","NA","NA","NA"
"Surat","26/10/2019","NA","NA","NA","NA"
"Surat","27/10/2019","NA","NA","NA","NA"
"Surat","28/10/2019","NA","NA","NA","NA"
"Surat","29/10/2019","NA","NA","NA","NA"
"Surat","30/10/2019","NA","NA","NA","NA"
"Surat","31/10/2019","NA","NA","NA","NA"
"Surat","01/11/2019","NA","NA","NA","NA"
"Surat","02/11/2019","NA","NA","NA","NA"
"Surat","03/11/2019","272","69642","151","72784"
"Surat","04/11/2019","272","69790","151","78504"
"Surat","05/11/2019","317","82783","156","74554"
"Surat","06/11/2019","317","82783","156","74554"
"Surat","07/11/2019","317","82783","156","74554"
"Surat","08/11/2019","317","82783","156","74554"
"Surat","09/11/2019","317","82783","156","74554"
"Surat","10/11/2019","317","82783","156","74554"
"Surat","11/11/2019","317","82783","156","74554"
"Surat","12/11/2019","317","82783","156","74554"
"Surat","13/11/2019","434","109044","207","89108"
"Surat","14/11/2019","434","118626","207","91796"
"Surat","15/11/2019","434","118626","207","91796"
"Surat","16/11/2019","434","109576","207","88650"
"Surat","17/11/2019","434","113739","207","91465"
"Surat","18/11/2019","433","112764","207","87483"
"Surat","19/11/2019","313","75200","176","67056"
"Surat","20/11/2019","434","118780","207","98964"
"Surat","21/11/2019","434","120247","207","90148"
"Surat","22/11/2019","434","115609","207","88505"
"Surat","23/11/2019","434","115127","207","97917"
"Surat","24/11/2019","434","119779","207","93531"
"Surat","25/11/2019","433","124627","207","100001"
"Surat","26/11/2019","313","88803","176","88877"
"Surat","27/11/2019","434","126165","207","112289"
"Surat","28/11/2019","220","89359","142","102552"
"Surat","29/11/2019","314","99615","181","93823"
"Surat","30/11/2019","314","100609","181","80927"
"Surat","01/12/2019","314","84616","181","65433"
"Surat","02/12/2019","320","101229","174","95026"
"Surat","03/12/2019","313","90905","168","77060"
"Surat","04/12/2019","321","106569","174","101493"
"Surat","05/12/2019","321","105369","174","99746"
"Surat","06/12/2019","321","108238","174","96103"
"Surat","07/12/2019","321","59956","174","58377"
"Surat","08/12/2019","321","107329","174","89854"
"Surat","09/12/2019","320","104185","174","98482"
"Surat","10/12/2019","313","47953","168","46567"
"Surat","11/12/2019","321","100836","174","97322"
"Surat","12/12/2019","321","111598","174","107222"
"Surat","13/12/2019","321","101868","174","92813"
"Surat","14/12/2019","330","114759","176","100746"
"Surat","15/12/2019","330","69573","176","63556"
"Surat","16/12/2019","330","105998","176","99959"
"Surat","17/12/2019","313","67579","168","78335"
"Surat","18/12/2019","313","67579","168","78335"
"Surat","19/12/2019","367","124379","177","105738"
"Surat","20/12/2019","363","104904","177","97457"
"Surat","21/12/2019","379","123161","179","103601"
"Surat","22/12/2019","379","80735","179","67330"
"Surat","23/12/2019","378","103556","179","90260"
"Surat","24/12/2019","313","91237","168","99217"
"Surat","25/12/2019","379","94076","203","82775"
"Surat","26/12/2019","379","95152","203","84837"
"Surat","27/12/2019","379","121610","204","109003"
"Surat","28/12/2019","379","NA","204","NA"
"Surat","29/12/2019","379","132056","204","108212"
"Surat","30/12/2019","386","118306","210","102646"
"Surat","31/12/2019","313","103887","176","99509"
"Surat","01/01/2020","387","133809","204","121169"
"Surat","02/01/2020","387","70625","204","62059"
"Surat","03/01/2020","396","127856","204","114079"
"Surat","04/01/2020","396","NA","204","NA"
"Surat","05/01/2020","396","75951","204","65828"
"Surat","06/01/2020","395","NA","204","NA"
"Surat","07/01/2020","322","53313","176","47697"
"Surat","08/01/2020","396","65088","204","56127"
"Surat","09/01/2020","294","82579","148","78805"
"Surat","10/01/2020","324","NA","168","NA"
"Surat","11/01/2020","396","59673","204","50753"
"Surat","12/01/2020","396","NA","204","NA"
"Surat","13/01/2020","395","NA","204","NA"
"Surat","14/01/2020","318","NA","176","NA"
"Surat","15/01/2020","396","56","204","NA"
"Surat","16/01/2020","396","NA","204","NA"
"Surat","17/01/2020","403","125099","204","110842"
"Surat","18/01/2020","403","126049","204","114168"
"Surat","19/01/2020","412","NA","207","NA"
"Surat","20/01/2020","411","108577","207","96203"
"Surat","21/01/2020","318","99643","176","93625"
"Surat","22/01/2020","412","NA","207","NA"
"Surat","23/01/2020","412","124451","207","106631"
"Surat","24/01/2020","412","NA","207","NA"
"Surat","25/01/2020","412","NA","207","NA"
"Surat","26/01/2020","412","NA","207","NA"
"Surat","27/01/2020","411","60490","207","53934"
"Surat","28/01/2020","318","NA","176","NA"
"Surat","29/01/2020","412","NA","207","NA"
"Surat","30/01/2020","412","NA","207","NA"
"Surat","31/01/2020","412","NA","207","NA"
"Surat","01/02/2020","412","129499","207","117068"
"Surat","02/02/2020","412","125465","207","116469"
"Surat","03/02/2020","411","NA","207","NA"
"Surat","04/02/2020","318","97741","176","105335"
"Surat","05/02/2020","421","128176","207","113002"
"Surat","06/02/2020","421","128410","207","113763"
"Surat","07/02/2020","421","118026","207","108943"
"Surat","08/02/2020","421","116179","207","110746"
"Surat","09/02/2020","421","121960","207","109557"
"Surat","10/02/2020","420","113651","207","103213"
"Surat","11/02/2020","318","89098","176","90580"
"Surat","12/02/2020","421","121255","207","108072"
"Surat","13/02/2020","421","114755","207","105088"
"Surat","14/02/2020","421","111087","207","95160"
"Surat","15/02/2020","421","120115","207","104078"
"Surat","16/02/2020","421","108945","207","96436"
"Surat","17/02/2020","420","115880","207","104139"
"Surat","18/02/2020","318","87835","176","89183"
"Surat","19/02/2020","427","120154","207","106704"
"Surat","20/02/2020","427","121450","207","111786"
"Surat","21/02/2020","427","118693","207","102738"
"Surat","22/02/2020","427","115156","207","106309"
"Surat","23/02/2020","427","117120","207","108178"
"Surat","24/02/2020","426","112691","207","102573"
"Surat","25/02/2020","324","87502","176","91157"
"Surat","26/02/2020","427","116945","207","103314"
"Surat","27/02/2020","411","111570","207","102226"
"Surat","28/02/2020","406","119554","207","103885"
"Surat","29/02/2020","406","104134","207","94329"
"Surat","01/03/2020","406","96572","207","90410"
"Surat","02/03/2020","405","87439","207","81606"
"Surat","03/03/2020","315","81453","176","79282"
"Surat","04/03/2020","316","88035","176","101773"
"Surat","05/03/2020","297","49892","145","53939"
"Surat","06/03/2020","316","96447","176","108685"
"Surat","07/03/2020","395","108859","194","99308"
"Surat","08/03/2020","395","107024","194","89819"
"Surat","09/03/2020","394","103594","194","92578"
"Surat","10/03/2020","315","76831","176","76563"
"Surat","11/03/2020","319","89639","176","93701"
"Surat","12/03/2020","408","97383","207","85838"
"Surat","13/03/2020","410","93912","207","85606"
"Surat","14/03/2020","410","94979","207","85292"
"Surat","15/03/2020","393","80724","207","74209"
"Surat","16/03/2020","393","60714","207","61357"
"Surat","17/03/2020","393","60714","207","61357"
"Surat","18/03/2020","393","60714","207","61357"
"Surat","19/03/2020","393","60714","207","61357"
"Surat","20/03/2020","393","60714","207","61357"
"Surat","21/03/2020","393","60714","207","61357"
"Surat","22/03/2020","393","60714","207","61357"
"Surat","23/03/2020","393","60714","207","61357"
"Surat","24/03/2020","393","60714","207","61357"
"Surat","25/03/2020","393","60714","207","61357"
"Surat","26/03/2020","393","60714","207","61357"
"Surat","27/03/2020","393","60714","207","61357"
"Surat","28/03/2020","393","60714","207","61357"
"Surat","29/03/2020","393","60714","207","61357"
"Surat","30/03/2020","393","60714","207","61357"
"Surat","31/03/2020","393","60714","207","61357"
"Surat","01/04/2020","393","60714","207","61357"
"Surat","02/04/2020","393","60714","207","61357"
"Surat","03/04/2020","393","60714","207","61357"
"Surat","04/04/2020","393","60714","207","61357"
"Surat","05/04/2020","393","60714","207","61357"
"Surat","06/04/2020","393","60714","207","61357"
"Surat","07/04/2020","393","60714","207","61357"
"Surat","08/04/2020","393","60714","207","61357"
"Surat","09/04/2020","393","60714","207","61357"
"Surat","10/04/2020","393","60714","207","61357"
"Surat","11/04/2020","393","60714","207","61357"
"Surat","12/04/2020","393","60714","207","61357"
"Surat","13/04/2020","393","60714","207","61357"
"Surat","14/04/2020","393","60714","207","61357"
"Surat","15/04/2020","393","60714","207","61357"
"Surat","16/04/2020","393","60714","207","61357"
"Surat","17/04/2020","393","60714","207","61357"
"Surat","18/04/2020","393","60714","207","61357"
"Surat","19/04/2020","393","60714","207","61357"
"Surat","20/04/2020","393","60714","207","61357"
"Surat","21/04/2020","393","60714","207","61357"
"Surat","22/04/2020","393","60714","207","61357"
"Surat","23/04/2020","393","60714","207","61357"
"Surat","24/04/2020","393","60714","207","61357"
"Surat","25/04/2020","393","60714","207","61357"
"Surat","26/04/2020","393","60714","207","61357"
"Surat","27/04/2020","393","60714","207","61357"
"Surat","28/04/2020","393","60714","207","61357"
"Surat","29/04/2020","393","60714","207","61357"
"Surat","30/04/2020","393","60714","207","61357"
"Surat","01/05/2020","393","60714","207","61357"
"Surat","02/05/2020","393","60714","207","61357"
"Surat","03/05/2020","393","60714","207","61357"
"Surat","04/05/2020","393","60714","207","61357"
"Surat","05/05/2020","393","60714","207","61357"
"Surat","06/05/2020","393","60714","207","61357"
"Surat","07/05/2020","393","60714","207","61357"
"Surat","08/05/2020","393","60714","207","61357"
"Surat","09/05/2020","393","60714","207","61357"
"Surat","10/05/2020","393","60714","207","61357"
"Surat","11/05/2020","393","60714","207","61357"
"Surat","12/05/2020","393","60714","207","61357"
"Surat","13/05/2020","393","60714","207","61357"
"Surat","14/05/2020","393","60714","207","61357"
"Surat","15/05/2020","393","60714","207","61357"
"Surat","16/05/2020","393","60714","207","61357"
"Surat","17/05/2020","393","60714","207","61357"
"Surat","18/05/2020","393","60714","207","61357"
"Surat","19/05/2020","393","60714","207","61357"
"Surat","20/05/2020","393","60714","207","61357"
"Surat","21/05/2020","393","60714","207","61357"
